Household 202,Household 210,Quantile,Datetime
0.04734083997096029,0.03442587606949624,0.75,2015-08-07T16:15:00Z
0.04342604268365096,0.03206123808219188,0.75,2015-08-07T16:45:00Z
0.04358358029134348,0.033064808929143034,0.75,2015-08-07T17:15:00Z
0.045141918183611844,0.03608669000350276,0.75,2015-08-07T17:45:00Z
0.04721198971013924,0.03909585011206722,0.75,2015-08-07T18:15:00Z
0.05006534851474716,0.041031622750979914,0.75,2015-08-07T18:45:00Z
0.05428187094554342,0.04223288512269422,0.75,2015-08-07T19:15:00Z
0.06143008162530235,0.043970960589645905,0.75,2015-08-07T19:45:00Z
0.07138756253613368,0.047155633203828165,0.75,2015-08-07T20:15:00Z
0.08059582728878638,0.05129490198468237,0.75,2015-08-07T20:45:00Z
0.08577429437007411,0.05525140707092617,0.75,2015-08-07T21:15:00Z
0.08749315942139227,0.05952466649091725,0.75,2015-08-07T21:45:00Z
0.08893978844152177,0.06769476606572389,0.75,2015-08-07T22:15:00Z
0.09187493573886962,0.08406435551874887,0.75,2015-08-07T22:45:00Z
0.095015994574037907,0.10849293113684501,0.75,2015-08-07T23:15:00Z
0.09660087425599759,0.13576968530750042,0.75,2015-08-07T23:45:00Z
1.0817725826796305,1.490304528714851,0.75,2015-08-08T00:15:00Z
1.0644779825133688,1.356891252841953,0.75,2015-08-08T00:45:00Z
0.9021214335333803,1.1234789149769382,0.75,2015-08-08T01:15:00Z
0.6130076367142557,0.8234031271312819,0.75,2015-08-08T01:45:00Z
0.33489426125874733,0.5448770130694794,0.75,2015-08-08T02:15:00Z
0.1925057405658028,0.35751936449884686,0.75,2015-08-08T02:45:00Z
0.18778596988557814,0.26373382480146096,0.75,2015-08-08T03:15:00Z
0.236908527995667,0.22457374040943218,0.75,2015-08-08T03:45:00Z
0.24952937703448758,0.20502517915573973,0.75,2015-08-08T04:15:00Z
0.1964567548680984,0.19280229804110063,0.75,2015-08-08T04:45:00Z
0.12085639580316977,0.1885221757103599,0.75,2015-08-08T05:15:00Z
0.07275183553092501,0.18928251144703281,0.75,2015-08-08T05:45:00Z
0.05980582475764169,0.18468254356282432,0.75,2015-08-08T06:15:00Z
