Datetime,Household 1,Household 2,Household 45,Household 54,Household 70,Household 71,Household 74,Household 115,Household 126,Household 136,Household 145,Household 153,Household 158,Household 162,Household 178,Household 181,Household 182,Household 191,Household 195,Household 198,Household 224,Quantile
14-09-2015 10:30,0.424622716,0.37718125,0.900034639,0.204437997,0.739089126,0.363240291,0.712280804,1.037470472,0.372107572,0.200394035,0.409809881,0.372820799,0.317242534,0.88357793,0.822134609,0.495710981,0.740800465,0.55139827,0.527262096,0.662739665,0.814391504,0.5
14-09-2015 10:45,0.451240354,0.447188608,0.867549357,0.223770005,0.756388925,0.342669764,0.641960121,1.022019896,0.409909455,0.21396945,0.414426289,0.350185551,0.321993785,1.007917766,0.678580516,0.476431284,0.738513313,0.585210411,0.521666988,0.656297987,0.777066394,0.5
14-09-2015 11:00,0.477915022,0.489427984,0.822994166,0.244607696,0.750949084,0.31614478,0.545293895,0.896662004,0.436178612,0.233648983,0.42517377,0.34434222,0.329813317,1.002501502,0.501256093,0.447100954,0.705504057,0.620027295,0.514531256,0.620073419,0.705939077,0.5
14-09-2015 11:15,0.458526038,0.468654277,0.835332525,0.265426649,0.757762515,0.289027069,0.454404687,0.750439831,0.446068216,0.258008789,0.447991531,0.355658289,0.333262374,0.864906915,0.355009967,0.411117562,0.652688333,0.609736281,0.487170725,0.573465517,0.609884969,0.5
14-09-2015 11:30,0.392146709,0.395931587,0.848855475,0.283945601,0.796471561,0.265780127,0.377929271,0.634269746,0.44179058,0.282108115,0.47035847,0.378163913,0.330340093,0.666452466,0.269193384,0.374053304,0.590206473,0.528786349,0.434339929,0.532436103,0.508858018,0.5
14-09-2015 11:45,0.316296187,0.316935234,0.800670088,0.298375067,0.855482001,0.247477865,0.317194438,0.554317493,0.430130558,0.301436164,0.477432602,0.402298241,0.322337929,0.495113438,0.232415718,0.341745881,0.529249054,0.417693893,0.37165185,0.49400801,0.427616319,0.5
14-09-2015 12:00,0.259171047,0.261842542,0.707439532,0.308605821,0.914035652,0.233755298,0.273870413,0.507690207,0.416941846,0.31520028,0.467592746,0.418996459,0.311790557,0.390439138,0.218329394,0.317406945,0.478662059,0.326966356,0.318087167,0.454268853,0.3715367,0.5
14-09-2015 12:15,0.178941435,0.215275543,0.627430709,0.337596134,0.363161292,0.165939591,0.224418477,0.148480572,0.3048846,0.345152892,0.283446583,0.252074061,0.191278834,0.218705743,0.260629146,0.215130077,0.244876948,0.162466944,0.181050395,0.275857957,0.2266907,0.5
14-09-2015 12:30,0.185776853,0.217370032,0.614062655,0.33665211,0.323102638,0.166892079,0.224496858,0.142685966,0.288837293,0.341591886,0.250622915,0.23330427,0.194935814,0.220055703,0.289718092,0.206754883,0.226563337,0.163045701,0.177787882,0.274776875,0.213799214,0.5
14-09-2015 12:45,0.206618511,0.219257174,0.567597333,0.334205071,0.265218007,0.169157952,0.224288238,0.138507633,0.267362104,0.336862167,0.215557537,0.20987858,0.200938007,0.223413258,0.292823075,0.197621345,0.202464058,0.160316287,0.176278428,0.277326784,0.199367874,0.5
