Datetime,Household 6,Household 19,Household 20,Household 41,Household 47,Household 78,Household 88,Household 97,Household 112,Household 123,Household 124,Household 127,Household 137,Household 166,Household 177,Household 192,Household 199,Quantile
14-09-2015 17:30,0.149599471,0.175024134,0.125719132,0.147558103,0.161096722,0.110280965,0.056979468,0.195263226,0.129326192,0.074482982,0.066761932,0.104851728,0.090753096,0.173434907,0.075137074,0.120647808,0.095731386,0.5
14-09-2015 17:45,0.154071397,0.139871269,0.124731114,0.138991041,0.121440991,0.112488051,0.058329914,0.182589477,0.162953521,0.072813473,0.080910608,0.114263831,0.084843725,0.187053056,0.076976232,0.105786649,0.089259566,0.5
14-09-2015 18:00,0.15954936,0.112977218,0.121860234,0.128619784,0.100409037,0.116192775,0.058549639,0.17362528,0.221956083,0.068225538,0.104297012,0.128152764,0.079299282,0.206724388,0.077598705,0.099943388,0.083395974,0.5
14-09-2015 18:15,0.164913229,0.095927918,0.119947658,0.119022615,0.09796515,0.122737275,0.05669846,0.172382175,0.265835837,0.063919185,0.124561034,0.146217573,0.076699045,0.227352511,0.076838337,0.105945508,0.088017822,0.5
14-09-2015 18:30,0.166403263,0.084501917,0.122294209,0.113459806,0.107222761,0.127598831,0.054956068,0.174672478,0.262112021,0.061397255,0.128682549,0.161060395,0.07994372,0.243431118,0.076369438,0.119651806,0.102192662,0.5
14-09-2015 18:45,0.161920076,0.078106112,0.132276963,0.112060621,0.118969235,0.125553299,0.054905641,0.176618217,0.217432068,0.060480343,0.117980766,0.165581169,0.087499881,0.246858056,0.076841145,0.132021598,0.112005241,0.5
14-09-2015 19:00,0.154727198,0.076705188,0.152582378,0.113660374,0.126581674,0.118961303,0.055115559,0.175871404,0.169818017,0.06239859,0.109956784,0.162448018,0.095221782,0.235691682,0.077038181,0.137281396,0.109125431,0.5
14-09-2015 19:15,0.14959403,0.077699493,0.180988101,0.116277832,0.127624328,0.112289887,0.054017145,0.173787692,0.145896709,0.06594863,0.116180529,0.159229492,0.100354259,0.218676473,0.075826436,0.136151754,0.101005751,0.5
14-09-2015 19:30,0.148299554,0.079438395,0.207406239,0.118087728,0.124734322,0.106625226,0.052275755,0.175569459,0.141668869,0.066953656,0.132374971,0.158260878,0.103550508,0.204641104,0.073636977,0.132690399,0.096780093,0.5
14-09-2015 19:45,0.1503717,0.082699926,0.221576276,0.118582086,0.121761154,0.103750188,0.052190021,0.186053155,0.141776054,0.06513621,0.148012812,0.158943823,0.107695138,0.200265882,0.071758919,0.132344284,0.09476953,0.5
